User Input,Chatbot Response,Timestamp
hello my name is tanay,Echo: hello my name is tanay,2024-12-07 16:41:07
hello,Echo: hello,2024-12-07 16:41:22
4,Echo: 4,2024-12-07 16:42:51
,Echo: ,2024-12-07 16:43:08
,Echo: ,2024-12-07 16:43:09
,Echo: ,2024-12-07 16:43:09
,Echo: ,2024-12-07 16:43:10
hello,Hey,2024-12-07 16:50:24
lets go for party,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 16:50:37
tell we about yourself,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 16:50:57
what your name,You can call me Chatbot.,2024-12-07 16:51:28
tel me the current time,"As an AI, I don't watch movies, but I can suggest some popular ones like The Shawshank Redemption, Inception, or The Godfather.",2024-12-07 17:03:22
time,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-07 17:03:34
what things can you perform,I am a chatbot,2024-12-07 20:31:59
can you suggest some movie,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-07 20:32:14
ok,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 20:32:21
